         17039216 function calls (16064202 primitive calls) in 117.497 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     9331    0.034    0.000    0.088    0.000 inspect.py:2152(_signature_from_function)
     2497    0.001    0.000    0.088    0.000 re.py:250(compile)
        1    0.000    0.000    0.087    0.087 _kdtree.py:3(<module>)
        1    0.000    0.000    0.086    0.086 patches.py:1(<module>)
    39192    0.083    0.000    0.083    0.000 {built-in method torch.empty_like}
   390946    0.083    0.000    0.083    0.000 {built-in method torch._C._has_torch_function_unary}
        1    0.000    0.000    0.082    0.082 axes3d.py:1(<module>)
        1    0.000    0.000    0.082    0.082 __init__.py:44(Conf)
        1    0.000    0.000    0.081    0.081 nddata.py:5(<module>)
        2    0.000    0.000    0.081    0.040 application.py:1(<module>)
        2    0.000    0.000    0.078    0.039 frame.py:1(<module>)
     1387    0.001    0.000    0.078    0.000 posixpath.py:388(realpath)
     6532    0.004    0.000    0.078    0.000 fromnumeric.py:436(repeat)
        1    0.000    0.000    0.078    0.078 wcs.py:31(<module>)
        1    0.000    0.000    0.075    0.075 debugger.py:1(<module>)
     6583    0.009    0.000    0.074    0.000 fromnumeric.py:51(_wrapfunc)
        2    0.000    0.000    0.073    0.037 __init__.py:17(<module>)
        1    0.000    0.000    0.073    0.073 completer.py:1(<module>)
        1    0.000    0.000    0.071    0.071 _continuous_distns.py:6(<module>)
        1    0.000    0.000    0.070    0.070 _distn_infrastructure.py:5(<module>)
        1    0.000    0.000    0.070    0.070 fitswcs.py:6(<module>)
        1    0.000    0.000    0.069    0.069 parser_support.py:24(<module>)
1388/1387    0.011    0.000    0.069    0.000 posixpath.py:397(_joinrealpath)
        1    0.000    0.000    0.068    0.068 backend_support.py:24(<module>)
       66    0.000    0.000    0.068    0.001 pytables.py:694(open)
       11    0.000    0.000    0.068    0.006 __init__.py:209(__getattr__)
        1    0.000    0.000    0.068    0.068 channels.py:1(<module>)
       66    0.000    0.000    0.068    0.001 file.py:204(open_file)
       66    0.001    0.000    0.068    0.001 file.py:714(__init__)
       23    0.000    0.000    0.067    0.003 base.py:1(<module>)
    78396    0.041    0.000    0.066    0.000 _VF.py:25(__getattr__)
      264    0.001    0.000    0.066    0.000 leaf.py:288(_g_post_init_hook)
        1    0.000    0.000    0.066    0.066 application.py:2(<module>)
     3872    0.002    0.000    0.065    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
     4213    0.002    0.000    0.064    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
   235381    0.064    0.000    0.064    0.000 {method 'dim' of 'torch._C._TensorBase' objects}
     6534    0.018    0.000    0.063    0.000 fromnumeric.py:38(_wrapit)
       46    0.000    0.000    0.063    0.001 <__array_function__ internals>:177(median)
       46    0.000    0.000    0.062    0.001 function_base.py:3734(median)
       46    0.000    0.000    0.062    0.001 function_base.py:3674(_ureduce)
       68    0.000    0.000    0.062    0.001 _optional.py:90(import_optional_dependency)
     7713    0.005    0.000    0.062    0.000 <__array_function__ internals>:177(sum)
     2772    0.061    0.000    0.061    0.000 {method '_g_getattr' of 'tables.hdf5extension.AttributeSet' objects}
       46    0.000    0.000    0.061    0.001 function_base.py:3824(_median)
        1    0.000    0.000    0.061    0.061 rcsetup.py:1(<module>)
       10    0.000    0.000    0.060    0.006 linear.py:1(<module>)
      531    0.001    0.000    0.060    0.000 sre_parse.py:944(parse)
 1605/533    0.003    0.000    0.057    0.000 sre_parse.py:436(_parse_sub)
      106    0.001    0.000    0.056    0.001 _distn_infrastructure.py:1892(__init__)
    45724    0.038    0.000    0.056    0.000 container.py:217(__iter__)
        1    0.000    0.000    0.056    0.056 generic.py:2(<module>)
 2095/574    0.021    0.000    0.055    0.000 sre_parse.py:494(_parse)
        1    0.000    0.000    0.054    0.054 _laplacian.py:1(<module>)
        2    0.000    0.000    0.052    0.026 _decorators.py:1(<module>)
        1    0.000    0.000    0.052    0.052 matrix.py:1(<module>)
       46    0.000    0.000    0.051    0.001 <__array_function__ internals>:177(partition)
       46    0.000    0.000    0.051    0.001 fromnumeric.py:667(partition)
     7713    0.009    0.000    0.051    0.000 fromnumeric.py:2162(sum)
       66    0.042    0.001    0.050    0.001 {method '_g_new' of 'tables.hdf5extension.File' objects}
        1    0.000    0.000    0.050    0.050 models.py:3(<module>)
        2    0.042    0.021    0.049    0.025 cm.py:1(<module>)
        1    0.000    0.000    0.049    0.049 backend_cpu.py:18(<module>)
       92    0.001    0.000    0.049    0.001 frame.py:3756(__getitem__)
      156    0.000    0.000    0.049    0.000 decorators.py:776(__get__)
        3    0.000    0.000    0.048    0.016 _base.py:1(<module>)
       46    0.048    0.001    0.048    0.001 {method 'partition' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.048    0.024 buffer.py:1(<module>)
        1    0.000    0.000    0.046    0.046 astrophys.py:4(<module>)
       66    0.000    0.000    0.045    0.001 pytables.py:1498(get_node)
       66    0.000    0.000    0.045    0.001 file.py:1561(get_node)
        1    0.000    0.000    0.044    0.044 art3d.py:5(<module>)
      132    0.000    0.000    0.044    0.000 group.py:223(_g_post_init_hook)
        1    0.000    0.000    0.044    0.044 crashhandler.py:2(<module>)
      385    0.016    0.000    0.043    0.000 doccer.py:13(docformat)
        1    0.000    0.000    0.043    0.043 ultratb.py:2(<module>)
    45724    0.023    0.000    0.043    0.000 typechecks.py:16(is_nonnegative_int)
        1    0.000    0.000    0.041    0.041 geo.py:1(<module>)
      127    0.000    0.000    0.041    0.000 docstring.py:36(__call__)
      814    0.001    0.000    0.041    0.000 abc.py:105(__new__)
      125    0.001    0.000    0.041    0.000 _distn_infrastructure.py:785(_construct_doc)
  115/105    0.000    0.000    0.041    0.000 docstring.py:83(__call__)
        1    0.000    0.000    0.041    0.041 legend.py:1(<module>)
        4    0.000    0.000    0.041    0.010 core.py:1412(to_system)
        1    0.000    0.000    0.040    0.040 configuration.py:2(<module>)
4824/4783    0.004    0.000    0.040    0.000 core.py:2221(__init__)
        4    0.000    0.000    0.040    0.010 core.py:1282(compose)
        1    0.000    0.000    0.040    0.040 _jit_internal.py:1(<module>)
4449/4164    0.003    0.000    0.040    0.000 typing.py:271(inner)
       13    0.000    0.000    0.040    0.003 docstring.py:55(__missing__)
      198    0.000    0.000    0.039    0.000 pytables.py:4945(_unconvert_index)
      279    0.010    0.000    0.038    0.000 traitlets.py:276(getmembers)
      132    0.002    0.000    0.038    0.000 pytables.py:5076(_unconvert_string_array)
     2771    0.007    0.000    0.038    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
       66    0.000    0.000    0.038    0.001 group.py:190(__init__)
      210    0.000    0.000    0.038    0.000 traitlets.py:955(__init__)
     4406    0.002    0.000    0.037    0.000 {built-in method builtins.sorted}
      209    0.000    0.000    0.037    0.000 traitlets.py:979(setup_class)
      210    0.004    0.000    0.037    0.000 traitlets.py:960(setup_class)
      531    0.001    0.000    0.037    0.000 sre_compile.py:622(_code)
      977    0.003    0.000    0.036    0.000 textwrap.py:414(dedent)
        3    0.000    0.000    0.036    0.012 base.py:3(<module>)
    26563    0.020    0.000    0.035    0.000 inspect.py:2498(__init__)
        1    0.000    0.000    0.035    0.035 fitting.py:2025(_populate_ep)
        1    0.000    0.000    0.035    0.035 metadata.py:572(entry_points)
      140    0.000    0.000    0.035    0.000 metadata.py:577(<genexpr>)
        1    0.000    0.000    0.035    0.035 offsetbox.py:1(<module>)
     6532    0.034    0.000    0.034    0.000 {method 'new_zeros' of 'torch._C._TensorBase' objects}
    13064    0.034    0.000    0.034    0.000 {built-in method torch.from_numpy}
      612    0.002    0.000    0.034    0.000 base.py:5507(equals)
        1    0.000    0.000    0.034    0.034 core.py:2(<module>)
        1    0.000    0.000    0.034    0.034 classes.py:1(<module>)
    16510    0.005    0.000    0.033    0.000 posixpath.py:164(islink)
        2    0.000    0.000    0.033    0.017 overrides.py:1(<module>)
    458/4    0.002    0.000    0.033    0.008 core.py:1160(_compose)
        2    0.000    0.000    0.033    0.016 quantity.py:969(cgs)
3342/3307    0.013    0.000    0.033    0.000 core.py:2295(_expand_and_gather)
        2    0.000    0.000    0.033    0.016 core.py:1466(cgs)
        1    0.000    0.000    0.032    0.032 lgmres.py:4(<module>)
        2    0.014    0.007    0.032    0.016 group.py:635(visititems)
        1    0.000    0.000    0.032    0.032 data.py:3(<module>)
        1    0.000    0.000    0.031    0.031 colors.py:1(<module>)
        5    0.000    0.000    0.031    0.006 core.py:1(<module>)
       31    0.000    0.000    0.031    0.001 utils.py:1(<module>)
        1    0.000    0.000    0.031    0.031 quantize.py:2(<module>)
        1    0.000    0.000    0.031    0.031 core.py:24(<module>)
      139    0.000    0.000    0.031    0.000 metadata.py:268(entry_points)
        9    0.003    0.000    0.030    0.003 core.py:179(add_enabled_units)
        3    0.000    0.000    0.030    0.010 core.py:344(set_enabled_units)
        3    0.000    0.000    0.030    0.010 core.py:160(set_enabled_units)
        1    0.000    0.000    0.030    0.030 multiarray.py:1(<module>)
        4    0.000    0.000    0.029    0.007 libutils.py:157(get_ctypes_library)
        1    0.000    0.000    0.029    0.029 Flowsclass_dev.py:57(from_samples)
     5829    0.002    0.000    0.029    0.000 re.py:198(search)
        1    0.000    0.000    0.029    0.029 _discrete_distns.py:5(<module>)
        1    0.000    0.000    0.029    0.029 Flowsclass_dev.py:116(__init__)
        1    0.000    0.000    0.029    0.029 interactiveshell.py:2(<module>)
        1    0.000    0.000    0.029    0.029 flow.py:29(__init__)
        1    0.000    0.000    0.029    0.029 nsf.py:58(__init__)
        1    0.000    0.000    0.029    0.029 coupling.py:53(__init__)
  712/580    0.005    0.000    0.029    0.000 base.py:431(__new__)
      612    0.001    0.000    0.029    0.000 missing.py:460(array_equivalent)
     5026    0.010    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:361(cache_from_source)
   228695    0.028    0.000    0.029    0.000 {built-in method builtins.min}
      886    0.028    0.000    0.028    0.000 {built-in method builtins.dir}
        1    0.000    0.000    0.028    0.028 lal.py:7(<module>)
    16510    0.028    0.000    0.028    0.000 {built-in method posix.lstat}
      204    0.013    0.000    0.028    0.000 {built-in method io.open}
       92    0.000    0.000    0.028    0.000 base.py:6099(_get_indexer_strict)
     1561    0.001    0.000    0.027    0.000 inspect.py:715(getabsfile)
 3815/531    0.010    0.000    0.027    0.000 sre_compile.py:87(_compile)
        1    0.000    0.000    0.027    0.027 polar.py:1(<module>)
        1    0.000    0.000    0.027    0.027 timeseries.py:17(<module>)
10092/9382    0.017    0.000    0.027    0.000 {built-in method __new__ of type object at 0x100a10e10}
      250    0.001    0.000    0.027    0.000 base.py:3889(get_indexer)
        1    0.000    0.000    0.027    0.027 math_functions.py:2(<module>)
    19602    0.010    0.000    0.026    0.000 <__array_function__ internals>:177(shape)
       43    0.000    0.000    0.026    0.001 math_functions.py:45(ufunc_model)
   215878    0.026    0.000    0.026    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.026    0.026 session.py:1(<module>)
       12    0.000    0.000    0.026    0.002 common.py:1(<module>)
    13482    0.026    0.000    0.026    0.000 {method 'astype' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.026    0.026 ipapp.py:3(<module>)
       66    0.000    0.000    0.026    0.000 <__array_function__ internals>:177(array_equal)
        1    0.000    0.000    0.026    0.026 fontconfig_pattern.py:1(<module>)
       66    0.024    0.000    0.026    0.000 numeric.py:2402(array_equal)
        1    0.000    0.000    0.025    0.025 axis.py:1(<module>)
        1    0.000    0.000    0.025    0.025 _pickle.py:1(<module>)
        3    0.000    0.000    0.025    0.008 array.py:1(<module>)
        1    0.000    0.000    0.025    0.025 imports.py:1(<module>)
     6532    0.025    0.000    0.025    0.000 {method 'detach' of 'torch._C._TensorBase' objects}
      192    0.001    0.000    0.024    0.000 core.py:86(__new__)
        1    0.000    0.000    0.024    0.024 magic.py:2(<module>)
        1    0.000    0.000    0.024    0.024 request.py:1(<module>)
        1    0.000    0.000    0.024    0.024 select.py:28(select_backend)
      138    0.000    0.000    0.024    0.000 generic.py:3894(_take_with_is_copy)
   331455    0.024    0.000    0.024    0.000 {method 'lstrip' of 'str' objects}
11530/11398    0.024    0.000    0.024    0.000 {built-in method numpy.asarray}
     2980    0.002    0.000    0.024    0.000 <frozen importlib._bootstrap>:156(__enter__)
    19606    0.009    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
        1    0.000    0.000    0.024    0.024 quantization_mappings.py:1(<module>)
        1    0.000    0.000    0.023    0.023 image.py:1(<module>)
     5346    0.003    0.000    0.023    0.000 attributeset.py:48(issysattrname)
        4    0.000    0.000    0.023    0.006 categorical.py:1(<module>)
     5276    0.002    0.000    0.022    0.000 <frozen importlib._bootstrap>:385(cached)
        3    0.000    0.000    0.022    0.007 asyncio.py:1(<module>)
        1    0.000    0.000    0.022    0.022 _geometric_slerp.py:1(<module>)
      138    0.000    0.000    0.022    0.000 generic.py:3873(_take)
    10056    0.013    0.000    0.022    0.000 inspect.py:2781(__init__)
       56    0.021    0.000    0.022    0.000 {method 'choice' of 'numpy.random.mtrand.RandomState' objects}
    16818    0.014    0.000    0.022    0.000 posixpath.py:71(join)
        2    0.000    0.000    0.022    0.011 distance.py:1(<module>)
